Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Thame,Solar,PV,No,Solar,, 	4.8 ,LV,England,South East,OX93QH,,473366.0,206186.0,2016.0,SOL-001101,,51.7495753913203,-0.9386504779794416,_A
Anesco,Michaelston Solar Farm,Solar,PV,No,Solar,, 	4.2 ,LV,Wales,Wales,CF36XS,,322998.0,183674.0,2016.0,SOL-001102,,51.546684198335804,-3.111847026408017,_K
Anesco,Greencroft,Solar,PV,No,Solar,, 	4.9 ,LV,England,North East,DH97XR,,417307.0,550812.0,2016.0,SOL-001104,,54.85181275729697,-1.7319716494045077,_F
Anesco,Moneystone,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,ST102DZ,,404572.0,346224.0,2016.0,SOL-001108,,53.01330272038025,-1.9333038522713617,_E
Anesco,Willows Farm,Solar,PV,No,Solar,, 	4.6 ,LV,England,West Midlands,WR114TG,SK1026233700,410262.0,333700.0,2016.0,SOL-001122,,52.90064438837905,-1.848887092287207,_B
Anesco,The Willows,Solar,PV,No,Solar,, 	4.7 ,LV,England,West Midlands,CV379RG,,410262.0,333700.0,2016.0,SOL-001124,,52.90064438837905,-1.848887092287207,_B
Anesco,Poplars,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV379RG,,415118.0,253833.0,2016.0,SOL-001129,,52.18254267884733,-1.7803063726954595,_E
Anesco,Clayhill,Solar,PV,No,Solar,, 	9.8 ,LV,England,East of England,MK455JD,,504351.0,233195.0,2017.0,SOL-001179,,51.98741802818698,-0.48180630922553785,_A
Anesco,Ollerton,Solar,PV,No,Solar,, 	4.3 ,LV,England,East Midlands,NG229DX,,463220.0,366009.0,2017.0,SOL-001182,,53.187425965029085,-1.055339727793758,_B
Anesco,Nanthenfoel,Solar,PV,No,Solar,, 	5.0 ,LV,Wales,Wales,SA487NP,,254014.0,252465.0,2017.0,SOL-001183,,52.15111569474332,-4.135176069248644,_K
Anesco,Albrighton,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,WV91RQ,,383987.0,305139.0,2017.0,SOL-001189,,52.64375101374557,-2.238091656281928,_E
Anesco,Ashton,Solar,PV,No,Solar,, 	4.8 ,LV,England,South West,BA146DX,,388976.0,158134.0,2017.0,SOL-001190,,51.32220076964612,-2.159584306712098,_H
Anesco,Blackwell Grange,Solar,PV,No,Solar,, 	5.0 ,LV,England,West Midlands,CV364PF,,422892.0,243330.0,2017.0,SOL-001191,,52.08785096747303,-1.6673117263652053,_E
Anesco,Hyde Farm,Solar,PV,No,Solar,, 	4.9 ,LV,England,South East,MK464DU,,488765.0,253909.0,2017.0,SOL-001192,,52.176307172570816,-0.7033243707310136,_B
Anesco,Spring Lane,Solar,PV,No,Solar,, 	1.0 ,LV,England,East Midlands,LE651WU,,436639.0,314607.0,2017.0,SOL-001193,,52.727871509046295,-1.4589057355367432,_B
Anesco,Moss Thorn,Solar,PV,No,Solar,, 	5.0 ,LV,England,North West,CA110BY,,348608.0,530601.0,2017.0,SOL-001200,,54.667849899942276,-2.7983292593355142,_G
